bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
2027920058,421a (25 yr not cap,,3,,
2027970033,421a (25 yr not cap,,3,,
2027980154,421a (25 yr not cap,,3,,
2028660090,421a (25 yr not cap,,3,,
2028670036,421a (25 yr not cap,,3,,
2028670037,421a (25 yr not cap,,3,,
2028670136,421a (25 yr not cap,,3,,
2028670137,421a (25 yr not cap,,3,,
2028680163,421a (25 yr not cap,,3,,
2029470044,421a (25 yr not cap,,3,,
2029470045,421a (25 yr not cap,,3,,
2029490037,421a (25 yr not cap,,3,,
2029490038,421a (25 yr not cap,,3,,
2029500027,421a (25 yr not cap,,3,,
2029500028,421a (25 yr not cap,,3,,
2029520128,421a (25 yr not cap,,3,,
2029520129,421a (25 yr not cap,,3,,
2029520130,421a (25 yr not cap,,3,,
2029550017,421a (25 yr not cap,,3,,
2029550018,421a (25 yr not cap,,3,,
2029600043,421a (25 yr not cap,,3,,
2029600044,421a (25 yr not cap,,3,,
2029600144,421a (25 yr not cap,,3,,
2029600145,421a (25 yr not cap,,3,,
2029600146,421a (25 yr not cap,,3,,
2029600147,421a (25 yr not cap,,3,,
2029600148,421a (25 yr not cap,,3,,
1011710129,421a (20 yr not cap,516,516,2.3373e+07,5.273e+06
2026070093,421a (25 yr not cap,,3,,
2026070095,421a (25 yr not cap,,3,,
2026070096,421a (25 yr not cap,,3,,
1016280037,new mult dwellings - 421a,76,76,1.67065e+06,321940
1016300005,421a (25 yr not cap,45,45,648000,260000
2026230167,421a (25 yr not cap,,3,,
2026230267,421a (25 yr not cap,,3,,
2026230268,421a (25 yr not cap,,3,,
2026230269,421a (25 yr not cap,,3,,
2026230270,421a (25 yr not cap,,3,,
2026230271,421a (25 yr not cap,,3,,
2026230272,421a (25 yr not cap,,3,,
2026240069,421a (25 yr not cap,,3,,
1016330020,new mult dwellings - 421a,37,37,1.2798e+06,217755
1016380008,421a (25 yr not cap,48,48,1.25873e+06,368570
2026520023,421a (25 yr not cap,,3,,
2026520024,421a (25 yr not cap,,3,,
2026520124,421a (25 yr not cap,,3,,
2026610160,421a (15 yr not cap),,3,,
2026610161,421a (15 yr not cap),,3,,
2026610162,421a (15 yr not cap),,3,,
2026620008,421a (25 yr not cap,,3,,
2026630044,421a (25 yr not cap,,3,,
2026630045,421a (25 yr not cap,,3,,
2026630051,421a (25 yr not cap,,3,,
2026630154,421a (25 yr not cap,,3,,
2026630155,421a (25 yr not cap,,3,,
2026630156,421a (25 yr not cap,,3,,
2026630157,421a (25 yr not cap,,3,,
2026830131,421a (25 yr not cap,,3,,
2026830132,421a (25 yr not cap,,3,,
2026830133,421a (25 yr not cap,,3,,
2026830134,421a (25 yr not cap,,3,,
2026830135,421a (25 yr not cap,,3,,
2029600149,421a (25 yr not cap,,3,,
2029600150,421a (25 yr not cap,,3,,
2029600151,421a (25 yr not cap,,3,,
2029600152,421a (25 yr not cap,,3,,
2029600153,421a (25 yr not cap,,3,,
2029600154,421a (25 yr not cap,,3,,
2029600155,421a (25 yr not cap,,3,,
2029610040,421a (25 yr not cap,,3,,
2029620012,421a (25 yr not cap,,3,,
2029620013,421a (25 yr not cap,,3,,
2029640012,421a (25 yr not cap,,3,,
2029650001,421a (25 yr not cap,,3,,
2029650101,421a (25 yr not cap,,3,,
2029650102,421a (25 yr not cap,,3,,
2029650103,421a (25 yr not cap,,3,,
2029700001,421a (25 yr not cap,,3,,
2029700002,421a (25 yr not cap,,3,,
2029700003,421a (25 yr not cap,,3,,
2029700004,421a (25 yr not cap,,3,,
2029700005,421a (25 yr not cap,,3,,
2029700006,421a (25 yr not cap,,3,,
2029740111,421a (25 yr not cap,,3,,
2029740112,421a (25 yr not cap,,3,,
2029740113,421a (25 yr not cap,,3,,
2029740114,421a (25 yr not cap,,3,,
2029740115,421a (25 yr not cap,,3,,
2029790034,421a (25 yr not cap,,3,,
2029890036,421a (25 yr not cap,,3,,
2029890037,421a (25 yr not cap,,3,,
2029950020,421a (25 yr not cap,,3,,
2029950118,421a (25 yr not cap,,3,,
2029950119,421a (25 yr not cap,,3,,
2029950120,421a (25 yr not cap,,3,,
2029950121,421a (25 yr not cap,,3,,
2029950122,421a (25 yr not cap,,3,,
2029960140,421a (15 yr not cap),,3,,
2029960141,421a (15 yr not cap),,3,,
2029960142,421a (15 yr not cap),,3,,
2030000001,421a (25 yr not cap,,3,,
2030010013,421a (25 yr not cap,,4,,
2030300157,421a (25 yr not cap,,3,,
2030300158,421a (25 yr not cap,,3,,
2030370103,421a (25 yr not cap,,3,,
2030370104,421a (25 yr not cap,,3,,
2030370105,421a (25 yr not cap,,3,,
2030370106,421a (25 yr not cap,,3,,
2030370107,421a (25 yr not cap,,3,,
